"ID","MonthlyIncome"
871,7072.97637923746
872,2987.52585852625
873,9370.75728446643
874,3121.1658249297
875,3067.19764360528
876,2694.06683903979
877,6429.63793681601
878,1446.37038346365
879,3317.13448688891
880,8019.37481518034
881,7206.12303777786
882,3255.05324199826
883,6452.38310058666
884,6075.74545818124
885,5775.08040234273
886,5710.45886082436
887,6926.32641591088
888,6431.69959890599
889,3079.69610527874
890,3262.83397622226
891,4035.81967379313
892,6254.93432763398
893,7735.76367572397
894,6012.27133328779
895,8225.94995446419
896,8140.85100156611
897,5787.5788640162
898,17629.0953186626
899,6804.46078657217
900,3061.6836524439
901,2542.04226592986
902,6823.17207017492
903,7750.19184649071
904,3260.61253639007
905,16202.6737483361
906,6329.09212155163
907,8303.93948111506
908,7288.19116660266
909,2648.88813411421
910,2717.73408430517
911,15884.7190112672
912,4010.81178880721
913,3575.70576299532
914,16158.8624086062
915,7059.86911203254
916,2513.18592439638
917,2415.34146680808
918,6121.04691056541
919,2083.08319529209
920,4121.93910029377
921,2686.14086862769
922,2914.84817560207
923,3021.69404378642
924,3720.08964346475
925,16974.8875201257
926,3843.68274456713
927,6685.00154027035
928,16636.3816508634
929,2185.47931967366
930,3412.96200439327
931,7649.19465112353
932,15122.6620810721
933,7542.1466355045
934,4335.74575310648
935,2018.9038283384
936,2199.9074904404
937,7626.63678287113
938,7867.22749461182
939,3766.02789957205
940,2356.61947125571
941,3169.86272589983
942,7107.59416259743
943,9819.73792814024
944,6328.68546345486
945,1654.29216421151
946,6501.71685349985
947,1938.51210919933
948,1832.12435290912
949,3446.20363156479
950,7375.36899673455
951,3613.76566255952
952,7214.44003078177
953,7136.18641954636
954,2904.25173756855
955,3621.00721537949
956,3730.77331248895
957,8423.05400646998
958,3470.87683489492
959,6701.89803122384
960,19196.3780958377
961,3063.70059252785
962,4035.81967379313
963,7195.91604269727
964,3816.84569543115
965,2404.65779778388
966,18345.5330535236
967,2494.91164939564
968,7243.49851974994
969,15895.7204232414
970,2587.34371831403
971,6390.83868478649
972,6792.08994568573
973,2858.95028518438
974,1681.40011961829
975,6254.52766953721
976,2900.75468649112
977,7536.03387810279
978,3555.96574850188
979,8003.42123018969
980,15684.9175136431
981,2921.3148594888
982,7105.57722251348
983,4082.39908973609
984,2552.25345155913
985,6870.49046264304
986,3032.82731091042
987,2015.40677726098
988,6421.50981896923
989,8936.00030089728
990,2763.03553668935
991,3965.51033642304
992,2660.02140123821
993,3594.3723136782
994,6432.10625700276
995,6837.80238837635
996,4412.65946363323
997,3228.25914377916
998,17849.2340173816
999,7183.76889659903
1000,1998.36516258859
1001,4005.05034698072
1002,3386.45123558794
1003,3605.09893361927
1004,7733.34007754326
1005,4455.74182849877
1006,6540.96906527106
1007,1983.8135615835
1008,6938.73764659367
1009,16873.6009463332
1010,3742.75235967824
1011,6715.91954389381
1012,2837.193330607
1013,7319.67325375154
1014,3532.42125069509
1015,6512.11272373758
1016,3917.84053848478
1017,4173.20414193911
1018,7183.76889659903
1019,6885.12078084447
1020,1776.48828465733
1021,7251.42449016203
1022,6298.2188399342
1023,3240.87252189664
1024,9336.0775639566
1025,16203.9617135557
1026,15979.4713917187
1027,3172.5801246105
1028,6061.3172874145
1029,5686.49443765834
1030,5839.62458520383
1031,6316.47874343415
1032,4624.55313116702
1033,15034.0761163877
1034,2406.47259043314
1035,3629.13533322626
1036,2000.97860649424
1037,5939.9283320194
1038,4962.0004989511
1039,14952.1399405596
1040,7078.4737364794
1041,2776.47549826281
1042,2987.52585852625
1043,7138.46744421486
1044,8130.86336906403
1045,2946.05613887529
1046,2496.74081354569
1047,7195.77346918505
1048,15994.1017099202
1049,3154.30349729619
1050,6390.6365373518
1051,11032.587931431
1052,3709.79532749856
1053,7552.47898895348
1054,2583.84666723661
1055,2781.2954401893
1056,2422.58301962804
1057,6223.65438791978
1058,16969.5053172272
1059,4418.32271283007
1060,2435.18202624472
1061,5139.89646303369
1062,7376.97927872173
1063,7058.13721816427
1064,1994.4972306077
1065,8448.42333621715
1066,2193.60743752044
1067,3615.6953716528
1068,19138.6341025642
1069,6434.12319708671
1070,3775.70225611084
1071,2296.88984810479
1072,7154.1568438122
1073,1983.8135615835
1074,6986.05603906179
1075,7387.78022741735
1076,18093.9738664957
1077,17655.9347201122
1078,3621.20936281417
1079,3691.8701056544
1080,3735.15461795462
1081,3300.60214504755
1082,3212.01618036316
1083,2105.08760053458
1084,7288.79997213411
1085,7342.36149536176
1086,8049.12934067063
1087,6419.69502631997
1088,2612.35395561351
1089,3078.12876329459
1090,6285.8076092514
1091,6510.29793108831
1092,7542.23386649517
1093,15736.4034234319
1094,6637.68314780223
1095,6582.37684777215
1096,7288.19116660266
1097,3273.56059616333
1098,3370.02889756319
1099,3470.87683489492
1100,7197.44135611242
1101,17462.5198273274
1102,6957.26163467817
1103,7152.8956149816
1104,7733.74673564002
1105,3481.80795458423
1106,3215.84791309637
1107,3306.45081786471
1108,3629.48673869641
1109,6390.83868478649
1110,6194.85565132648
1111,8019.92168356192
